,Unnamed: 0,tweet_id,date,text,user,preproc
158,158,1531920295015198721,2022-06-01 08:47:14+00:00,"@meszias @FawlerRobert @rennerocha @luizouguilherme Trabalho com Python desde 2003, nesse período usei vários frameworks (e até ajudei a criar um) foi Pylons, Zope,  Repoze, Turbogears, Web2py, Bottle, Flask, Django, FastAPI.

Eu diria que uma pessoa precisa apenas saber HTTP, WSGI, POO, DB para dominar qualquer desses frameworks.",rochacbruno,meszias fawlerrobert rennerocha luizouguilherme trabalhar python período usar frameworks ajudar criar pylons zope repoze turbogears web py bottle flask django fastapi dizer pessoa preciso http wsgi poer db dominar dessar frameworks
159,159,1531919180450394112,2022-06-01 08:42:48+00:00,"@Dafeol @ivorafael @LINUXtipsBR Olá, no site em cada módulo tem um link para a grade do treinamento.

O Python BASE tem 64h de conteúdo em vídeo, são diversos exercícios práticos e um projeto completo de um programa de terminal.

O treinamento serve para quem não tem conhecimento prévio em programação.",rochacbruno,dafeol ivorafael linuxtipsbr olá site módulo link gradar treinamento python base h conteúdo vídeo diverso exercício prático projeto completar programar terminal treinamento servir conhecimento prévio programação
160,160,1531897426981814273,2022-06-01 07:16:22+00:00,"@zanfranceschi O App da receita deveria ser um aplicativo Python, GTK e rodar em Linux. O governo não deve incentivar o uso de plataformas proprietárias.",0xDEADBEEFCAFE,zanfranceschi app receitar dever aplicativo python gtk rodar linux governar incentivar usar plataforma proprietário
161,161,1531896062327279617,2022-06-01 07:10:57+00:00,"@nicolettiFPS @sseraphini Isso significa que se você vai usar qualquer tecnologia não proprietária da MS, i.e. Java, Javascript, Python, Ruby, Docker, MySQL, Postgres, Kafka e afins eles foram construídos pensando num ambiente unix e por isso funcionam bem melhor lá, se você tiver uma RAM infinita...",minimarvindroid,nicolettifps sseraphini significar tecnologia proprietário ms ir java javascript python ruby docker mysql postgres kafka afim construir pensar ambientar unix funcionar melhor ter ram infinito
162,162,1531871662974574593,2022-06-01 05:33:59+00:00,"@raulxcrespo @sseraphini Abandone o Java, um ecossistema usado por grandes corporações e cada vez menos estudado pelos novos profissionais, e se dedique ao javascript e Python. Pelo menos assim vc nunca mais se sentirá sozinho nos processos seletivos que for participar.",ruizalexandre,raulxcrespo sseraphini abandonar java ecossistema usar corporação estudar profissional dedicar javascript python vc sentir só processo seletivos participar
163,163,1531862619480547330,2022-06-01 04:58:03+00:00,Dois dias que fiquei sem celular comecei a aprender violão e decidi fazer Python,InacioLibre,dia ficar celular começar aprender violão decidir python
164,164,1531860355013410816,2022-06-01 04:49:03+00:00,@thoncansado Agora espera o código Python ter 10k linhas de código hahaha,naomijub,thoncansado esperar código python k linha código hahaha
165,165,1531845161537388544,2022-06-01 03:48:41+00:00,"PC formatado e instalado. 
Só instalei o ambiente java. Que o node e python se explodam no inferno.",PauloMatew,pc formatado instalar instalar ambientar java node python explodam infernar
166,166,1531845028515131392,2022-06-01 03:48:09+00:00,"@F3l1p3 @pdroaugust @LukeberryPi @lorencinig Exatamente.

Além de que mudar objetos comuns das linguagens é algo extremamente complexo e para linguagens muito utilizadas com o Python, Breaking changes são sempre evitadas.

Java na sua versão 8 adicionou os conceitos de FP, e demorou ser adotado por conta disso.",brunocroh,f l p pdroaugust lukeberrypi lorencinig exatamente mudar objetos comum linguagem extremamente complexo linguagem utilizar python breaking changes evitar java versão adicionar conceito fp demorar adotado contar
167,167,1531844016148471817,2022-06-01 03:44:08+00:00,"@pdroaugust @LukeberryPi @brunocroh @lorencinig Como o conceito de reduce vem da programação funcional e não da OO, ser método de algum objeto não agrega mta coisa pra quem quer programar em Python num estilo próximo a pf. Sem falar q é uma sintaxe +simples e similar a de linguagens funcionais reais",F3l1p3,pdroaugust lukeberrypi brunocroh lorencinig conceito reduce programação funcional o método algum objeto agregar mta pra programar python estilar pf falar q sintaxe simples similar linguagem funcionar real
168,168,1531842982412009472,2022-06-01 03:40:01+00:00,Algum DEV - Python que utiliza framework DJANGO pode me dar um help aqui na moralzinha??,srjota_oficial,algum dev python utilizar framework django help moralzinha
169,169,1531842062860988418,2022-06-01 03:36:22+00:00,"📣 Nova Oportunidade!

🧑‍💻 Sênior em #python e #featuretoggle
🏙️ Tembici
🪙 R$ 7.130
📍 Remoto

Candidate-se agora! https://t.co/QsMOmfAlTg

#empregos #jobs #vagas #tecnologia",Tecnovagas1,oportunidade sênior python featuretoggle tembici r remoto candidatar https t co qsmomfaltg emprego jobs vago tecnologia
